index,SMILES
4636,O=S1(=O)CCN(c2ccsc2)CC1
4639,O=S1(=O)CCN(c2nc3ccccc3s2)CC1
4660,O=[N+]([O-])c1ccc(CNn2cnnc2)cc1
4684,O=[N+]([O-])c1ccc(N2CC[C@@H](O)C2)cc1
4690,O=[N+]([O-])c1ccc(NCc2ccc(Cl)nc2)cc1
4708,O=[N+]([O-])c1ccc(Nc2nnn[nH]2)cc1
4717,O=c1[nH]sc2ccccc12
4750,OCCNc1cc2ccccc2o1
4816,c1cc2c(cc1Nn1cnnc1)OCO2
4819,c1cc2cc(Nn3cnnc3)ccc2[nH]1
4822,c1cc2cn[nH]c2cc1NCC1CCCCC1
4825,c1ccc(-c2ccc3nc(Nc4cccnc4)sc3c2)cc1
4837,c1ccc2c(c1)SN1CCCN=C21
4840,c1ccc2nc(Nn3cnnc3)cnc2c1
4846,c1ccc2oc(Nc3ncn[nH]3)cc2c1
4849,c1ccc2oc(Nc3nn[nH]n3)cc2c1
4852,c1ccc2oc(Nn3cnnc3)cc2c1
4855,c1cnc(Nc2cc3ccccc3o2)nc1
4858,c1nc(Nc2ccc3cn[nH]c3c2)c2[nH]cnc2n1
4861,c1nc(Nc2nnn[nH]2)c2[nH]cnc2n1
4864,c1nc(Nn2cnnc2)c2[nH]cnc2n1
4882,Cc1ccccc1NC1CCCCC1
4891,Cc1ccccc1Nc1ccc(-n2nnc(-c3ccccc3)c2-c2ccccc2)cc1
4909,C=COC(=O)N(Cc1ccccc1)c1ccc(C#N)cc1
4915,C=COC(=O)Nc1cc(F)c(F)cc1F
4942,FC(F)(F)c1ccc(Nc2nc3ccc(Br)cc3s2)nc1
4948,CS(=O)(=O)NCc1cc(Br)ccc1[N+](=O)[O-]
4966,COc1ccc2nc(Nc3ccccc3C)sc2c1
4981,Cc1ccccc1N(c1ccc2c(C(F)(F)F)cc(=O)oc2c1)S(=O)(=O)c1cccs1
5020,Cc1c(NC(=O)Nc2cc(-c3ccc(O)cc3)cnc2N)cccc1-c1ccc(OC(F)(F)F)cc1
5053,Cc1ccccc1N(C(=O)OC(C)(C)C)c1ccc2c(C(F)(F)F)cc(=O)oc2c1
5113,COc1ccc2nc(N(c3ccccc3C)S(=O)(=O)c3cccs3)sc2c1
5116,C=COC(=O)Nc1sc2ccccc2c1Cl
5173,Nc1ncc(Br)cc1NC(=O)Nc1ccccc1OC(F)(F)F
5203,CCC/C=C/CN(c1ccc(OC)c(OC)c1)c1cc(-c2ccc(Cl)cc2)cnc1N
5218,CC(C)(C)OC(=O)N(c1ccc(F)cc1)c1cc(Br)cnc1N
5236,Fc1cccc(F)c1-c1ccc2nc(Nc3ccc(C(F)(F)F)cn3)sc2c1
5263,CC(C)=CCC[C@@H](C)CCN(c1ccc(C#N)cc1)S(C)(=O)=O
5296,Cc1ccccc1Nc1cccc(OC(F)(F)F)c1
5314,CCN(C(=O)OC(C)(C)C)c1cc(Br)cnc1N
5341,CS(=O)(=O)NCc1ccc(-n2ccnc2)cc1
5365,O=[N+]([O-])c1cccnc1Br
5374,Cc1nnc(NCCc2ccccc2)s1
5383,C=CNC(=O)N(CC(C)C)c1c(C)noc1C
5392,Cc1noc(C)c1N(Cc1ccccc1)C(=O)Nc1nn[nH]n1
5398,Cc1noc(C)c1Nc1cc(Br)cnc1N
5428,NC(=S)C(=S)Nc1ccccc1
5431,NC(=S)C(=S)Nc1cnc2ccccc2c1
5473,O=C(Nc1sc2ccccc2c1Cl)OCc1ccc(NO)cc1
5488,N#Cc1ccc(N(CC(O)CN)c2ccccc2C#N)cc1
5500,CN(C)c1ccc(CNc2cccc(OC(F)(F)F)c2)cc1
5506,CN(C)c1ccc(CNc2ccc(Cl)cn2)cc1
5521,COc1ccc2nc(Nc3ccc4c(c3)OCO4)sc2c1
5542,CCOC(=O)N(c1ccc2c(c1)OCO2)c1ccncc1Br
5614,FC(F)(F)c1ccc(-c2ccc(Nc3cnc4ccccc4c3)cc2)nc1
5617,Brc1cnccc1Nc1cnc2ccccc2c1
5635,c1ccc(-c2ccc(Nc3cnc4ccccc4n3)cc2)cc1
5641,O=S1(=O)CCN(c2cc(Cl)ccn2)CC1
5665,Clc1ccc(Nc2ccc(-c3ccccc3)cc2)cc1
5668,NCCN(CCOC(=O)Nc1cc(Br)ccn1)c1cc(Cl)ccn1
5683,CC(C)(C)OC(=O)N(CCOC(=O)Nc1cc(Br)ccn1)c1cc(Cl)ccn1
5740,CC(C)=CCC[C@@H](C)CCN(c1ccc2c(c1)OCO2)c1ccncc1-c1ccc(N)cc1
5797,NC(=O)Nc1ccc(Nc2ccc3cn[nH]c3c2)cc1
5815,COc1ccc(N(c2ccncc2Br)S(=O)(=O)C(F)(F)F)cc1
5821,Cc1noc(C)c1NC(=O)Nc1ccc2c(c1)OCO2
5878,CN(C)c1ccc(CNS(=O)(=O)Nc2cc(Cl)ccn2)cc1[N+](=O)[O-]
5902,N#Cc1ccc(Nc2ccc(-c3ccccc3)cc2)cc1
5926,CC(C)=CCC[C@@H](C)CCN(c1ccc2c(c1)OCO2)c1ccncc1Br
5953,O=C(Nc1ncccn1)Nc1nc2ccccc2s1
5956,O=S(=O)(c1cccc2cccnc12)N(CCO)C12CC3CC(CC(C3)C1)C2
5983,O=C([O-])N1CCC(Nc2ccccc2CBr)CC1
